#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
Ag004G0552300	AT5G19520.1	754	743	100	100	758	75.726	1141
Ag004G0552600	AT5G19500.1	492	506	100	100	506	81.423	751
Ag004G0552900	AT5G19485.1	459	457	100	100	459	88.017	773
Ag004G0553000	AT5G19480.1	212	208	98	99	208	73.077	232
Ag004G0553100	AT5G19473.2	97	135	95	70	96	80.208	152
Ag004G0553200	AT5G19460.1	355	375	100	100	375	79.733	597
Ag004G0553300	AT5G19450.1	534	534	100	100	535	93.645	1035
Ag004G0553400	AT5G19440.1	323	327	99	98	320	88.750	596
Ag004G0553500	AT5G19430.4	256	257	90	97	230	82.000	361
Ag004G0553600	AT5G19420.2	1104	1140	99	99	1130	92.219	2008
Ag004G0553700	AT5G19410.2	632	634	99	98	634	85.016	1046
Ag004G0553900	AT5G19390.1	878	871	100	100	879	89.420	1498
Ag004G0554000	AT5G19360.1	523	524	100	100	524	92.939	998
Ag004G0554100	AT5G19370.1	300	300	100	100	301	84.053	472
Ag004G0554200	AT5G19380.2	445	508	99	99	508	71.457	628
Ag004G0554300	AT5G19350.1	446	426	95	96	415	86.747	723
Ag004G0554400	AT5G19540.1	467	463	100	100	473	80.338	747
Ag004G0554500	AT5G19560.4	520	513	100	100	521	85.797	887
Ag004G0554600	AT5G19550.1	406	406	100	100	406	92.365	781
Ag004G0554900	AT5G19660.1	1038	1039	100	100	1039	87.969	1857
Ag004G0555000	AT5G19630.1	222	229	100	100	230	85.652	392
Ag004G0555300	AT5G19640.1	608	610	100	99	610	85.902	1058
Ag004G0555600	AT5G19620.1	737	733	99	99	743	85.061	1261
Ag004G0555900	AT5G19610.1	1377	1376	100	100	1382	91.100	2564
Ag004G0556000	AT5G19600.1	635	635	99	99	629	81.399	1074
Ag004G0556100	AT5G19590.1	156	152	86	99	134	74.172	215
Ag004G0556200	AT5G19580.1	596	595	100	100	599	75.960	931
Ag004G0556500	AT5G19570.1	138	138	98	99	139	82.014	199
Ag004G0556600	AT5G19670.1	595	611	100	100	612	80.392	990
Ag004G0556700	AT5G19680.1	334	329	94	96	315	92.381	582
Ag004G0556800	AT5G19690.1	780	780	100	100	780	92.564	1433
Ag004G0556900	AT5G19700.1	509	509	100	100	511	87.867	902
Ag004G0557000	AT5G19730.1	379	384	96	95	364	88.462	677
Ag004G0557100	AT5G19740.1	705	682	97	99	683	80.088	1124
Ag004G0557200	AT5G19750.1	280	289	100	100	292	73.288	364
Ag004G0557300	AT5G19760.1	300	299	100	100	300	91.000	569
Ag004G0557600	AT5G19790.1	251	254	100	100	260	81.538	384
Ag004G0557700	AT5G19820.1	1118	1117	100	100	1118	95.349	2205
Ag004G0558000	AT5G19840.2	538	550	96	95	533	78.049	833
Ag004G0558200	AT5G19850.1	365	360	97	99	366	85.246	642
Ag004G0558300	AT5G19855.1	207	204	98	99	203	80.788	343
Ag004G0558400	AT5G19860.1	185	182	100	100	186	75.269	255
Ag004G0558500	AT5G19870.1	303	277	91	99	276	86.232	461
Ag004G0558700	AT5G19875.1	124	124	100	100	124	82.258	197
Ag004G0558900	AT5G19880.1	330	330	100	100	330	89.697	603
Ag004G0559100	AT5G19890.1	332	329	100	100	332	84.639	565
Ag004G0559500	AT5G19900.1	489	495	100	100	510	77.255	651
Ag004G0559600	AT5G19910.2	197	227	99	99	225	77.778	286
Ag004G0560000	AT5G19930.1	289	289	100	100	289	89.965	505
Ag004G0560100	AT5G19940.1	242	240	100	94	226	87.603	411
Ag004G0560200	AT5G19950.1	403	444	93	94	422	74.408	588
Ag004G0560700	AT5G19960.1	341	338	100	100	342	80.409	535
Ag004G0560800	AT5G19970.1	409	403	100	100	410	84.390	693
Ag004G0562000	AT5G19980.1	340	342	100	100	343	80.466	543
Ag004G0562100	AT5G19990.1	420	420	100	100	420	98.571	850
Ag004G0562200	AT5G20010.1	222	222	100	100	222	96.396	454
Ag004G0562300	AT5G20030.1	312	327	100	100	338	70.710	439
Ag004G0562400	AT5G20040.3	455	470	99	97	460	76.739	724
Ag004G0562500	AT5G20050.1	453	453	97	97	443	81.716	661
Ag004G0562600	AT5G20060.1	252	253	100	100	253	90.119	473
Ag004G0562700	AT5G20070.1	438	439	100	95	417	85.747	759
Ag004G0562800	AT5G20080.1	329	329	100	100	329	93.921	645
Ag004G0562900	AT5G20090.1	111	111	100	100	111	92.793	219
Ag004G0563400	AT5G20110.1	205	210	95	92	198	75.598	288
Ag004G0563500	AT5G20120.1	189	189	94	94	178	92.697	306
Ag004G0564400	AT5G20130.2	203	232	100	88	209	73.684	231
Ag004G0564500	AT5G36260.1	478	483	100	99	479	87.056	857
Ag004G0564600	AT5G20150.1	272	257	100	100	275	84.000	427
Ag004G0564900	AT5G20170.1	646	654	100	100	654	84.098	1105
Ag004G0565000	AT5G20180.1	105	104	100	100	105	75.238	166
Ag004G0565500	AT5G20190.1	287	291	100	100	291	76.289	386
Ag004G0565700	AT5G20220.4	402	410	100	100	411	80.779	646
Ag004G0565900	AT5G20240.1	209	209	100	100	209	90.909	388
Ag004G0566000;Ag004G0566200	AT5G49450.1	138	146	100	100	147	72.109	192
Ag004G0566300	AT5G20250.4	839	845	100	100	855	82.573	1417
Ag004G0566500	AT5G20270.1	333	333	100	100	336	86.905	583
Ag004G0566600	AT5G20280.1	1038	1044	99	99	1037	91.900	1922
Ag004G0566800	AT5G20300.1	790	794	98	99	776	85.152	1354
Ag004G0567200	AT5G20320.1	1638	1703	99	96	1647	78.567	2613
Ag004G0567300	AT5G20330.1	345	346	100	100	346	81.503	562
Ag004G0567700	AT5G20350.1	621	621	100	98	606	88.614	1094
Ag004G0568000	AT5G20380.2	524	570	100	91	526	87.072	908
Ag004G0568100	AT4G01420.1	214	204	96	99	206	83.981	347
Ag004G0568200	AT5G20400.1	360	349	98	99	351	82.336	609
Ag004G0568500	AT5G20410.1	463	469	100	100	470	88.936	799
Ag004G0568600	AT5G20420.1	1269	1262	99	99	1268	81.467	2076
Ag004G0570300	AT5G20480.1	1031	1032	100	100	1040	78.077	1586
Ag004G0570600	AT5G20500.1	133	136	100	100	136	81.618	229
Ag004G0570700	AT5G20510.1	258	261	100	100	265	81.887	397
Ag004G0570800	AT5G20520.1	311	309	98	98	304	90.789	558
Ag004G0570900	AT5G20540.1	376	385	100	100	385	85.974	626
Ag004G0571100	AT5G20390.1	346	345	98	98	339	81.121	568
Ag004G0571200	AT5G20570.2	118	143	100	100	143	79.720	219
Ag004G0571300	AT5G20580.1	350	349	99	99	349	91.977	655
Ag004G0571400	AT5G20590.1	544	486	99	99	543	74.401	794
Ag004G0571500	AT5G20600.1	539	533	99	99	539	78.293	781
Ag004G0571700	AT5G20610.1	1155	1165	100	100	1173	81.927	1801
Ag004G0571900	AT5G20630.1	213	212	100	100	213	85.915	373
Ag004G0572000	AT5G20635.1	247	252	87	99	219	74.409	250
Ag004G0572100	AT5G20640.1	215	216	99	99	215	82.791	361
Ag004G0572200	AT5G20650.1	143	147	99	97	143	83.916	217
Ag004G0572300	AT5G20670.1	155	154	100	100	155	83.226	247
Ag004G0572400	AT5G20680.1	510	552	100	100	561	75.758	853
Ag004G0572500	AT5G20690.1	660	660	96	99	640	74.436	955
Ag004G0573100	AT5G20700.1	242	249	100	100	252	75.794	350
Ag004G0573200	AT5G20710.1	846	827	100	99	848	82.429	1470
Ag004G0573300	AT5G20720.1	257	254	100	100	257	92.996	473
Ag004G0574900	AT5G20740.2	202	240	98	83	205	78.049	317
Ag004G0575800	AT5G20810.2	166	191	93	81	155	87.742	280
Ag004G0575900	AT5G20820.1	131	128	100	100	131	89.313	240
Ag004G0576000	AT5G20830.1	810	809	100	100	810	90.370	1508
Ag004G0576800	AT5G20840.1	824	832	98	99	820	86.347	1472
Ag004G0576900	AT5G20850.1	344	343	100	100	344	97.093	681
Ag004G0577000	AT5G20860.2	544	539	100	100	545	78.899	882
Ag004G0577100	AT5G20870.1	499	502	97	94	471	83.878	834
Ag004G0577400	AT5G20885.1	172	177	100	100	177	84.746	297
Ag004G0577700	AT5G20890.1	528	528	100	100	528	95.644	1033
Ag004G0579100	AT5G20910.1	306	311	97	100	298	87.138	535
Ag004G0579200	AT5G20920.1	268	269	100	100	271	84.871	432
Ag004G0579300	AT5G20930.1	685	689	100	100	692	84.682	1154
Ag004G0579400	AT5G20935.1	123	122	100	100	123	86.179	214
Ag004G0580300	AT5G20940.1	632	627	99	99	628	83.280	1041
Ag004G0580400	AT5G20950.3	624	703	99	89	623	92.135	1153
Ag004G0580600	AT5G20960.1	1365	1369	100	100	1373	82.739	2329
Ag004G0580700	AT5G20970.1	233	250	100	100	254	73.622	345
Ag004G0580800	AT5G20980.1	814	813	100	100	814	90.049	1508
Ag004G0580900	AT5G20990.1	670	671	98	99	659	90.419	1217
Ag004G0581000	AT5G21010.1	406	411	100	99	406	86.700	727
Ag004G0581400	AT5G21040.1	542	540	100	100	545	85.872	918
Ag004G0581500	AT5G21050.1	347	356	96	100	341	82.961	563
Ag004G0581600	AT5G21060.2	379	379	99	99	377	88.594	676
Ag004G0581900	AT5G21070.1	227	226	99	99	225	97.778	428
Ag004G0582000	AT5G21080.1	1009	1026	99	99	1018	87.230	1796
Ag004G0582200	AT5G21090.1	215	219	100	100	219	89.498	389
Ag004G0582400	AT5G21105.1	573	589	99	97	572	82.692	1014
Ag004G0582800	AT5G21140.1	317	313	98	98	311	81.994	506
Ag004G0582900	AT5G21150.1	909	897	100	97	884	80.549	1452
Ag004G0583000	AT5G21160.3	830	834	99	99	829	73.508	1075
Ag004G0583100	AT5G21170.2	285	321	100	100	322	77.019	444
Ag004G0583200	AT5G21222.1	836	832	99	99	837	85.544	1471
Ag004G0583400	AT5G21326.1	440	440	99	99	435	94.253	859
Ag004G0583500	AT5G21430.1	217	219	100	100	221	82.353	328
Ag004G0583600	AT5G21482.1	514	525	100	100	526	84.601	904
Ag004G0583800	AT5G21920.1	245	252	99	96	244	88.115	431
Ag004G0583900	AT5G21930.1	883	884	99	99	880	91.250	1587
Ag004G0584100	AT5G21950.6	303	361	99	83	305	78.033	479
Ag004G0584900	AT5G21970.1	438	450	99	91	409	77.629	682
Ag004G0585000	AT5G21280.1	297	303	100	100	310	75.484	316
Ag004G0585100	AT5G21990.1	566	555	100	100	569	85.237	969
Ag004G0585200	AT5G22000.1	377	376	100	100	379	84.960	608
Ag004G0585300	AT5G22010.1	1010	957	100	100	1015	81.281	1512
Ag004G0585400	AT5G22020.1	396	396	100	100	396	88.384	721
Ag004G0585500	AT5G22030.2	879	914	99	99	928	81.034	1513
Ag004G0585800	AT5G22040.1	274	285	100	100	285	82.456	453
Ag004G0585900	AT5G22050.2	319	308	97	100	308	90.260	580
Ag004G0586000	AT5G22060.1	425	420	100	100	425	89.647	714
Ag004G0586100	AT5G22070.1	363	363	100	100	363	91.460	672
Ag004G0586200	AT5G22080.1	247	247	100	100	247	95.951	477
Ag004G0586300	AT5G22090.1	461	464	99	99	476	76.891	613
Ag004G0586600	AT2G26440.1	542	548	97	100	533	78.221	870
Ag004G0586700	AT5G22100.1	378	376	98	99	372	74.462	555
Ag004G0586800	AT5G22110.1	522	527	98	99	510	86.538	918
Ag004G0586900	AT5G22120.1	382	384	100	100	391	78.517	574
Ag004G0587000	AT5G22130.2	435	471	99	97	458	81.659	754
Ag004G0587100	AT5G22140.1	371	366	98	99	365	85.205	627
Ag004G0590000	AT3G44220.1	207	207	100	100	208	73.558	314
Ag004G0590100	AT5G22210.1	81	81	100	100	82	80.488	111
Ag004G0590200	AT5G22220.2	458	470	98	99	470	78.085	724
Ag004G0590400	AT5G22250.1	278	279	99	100	279	84.946	484
Ag004G0590500	AT5G22260.1	673	673	100	100	675	90.667	1260
Ag004G0590600	AT5G22270.1	95	94	99	95	94	79.787	85.9
Ag004G0590700	AT3G44280.1	109	109	100	100	109	76.147	130
Ag004G0590900	AT5G22290.1	342	341	97	98	333	81.682	577
Ag004G0592600	AT5G22300.1	359	356	99	99	355	87.042	641
Ag004G0592700	AT5G22310.1	459	482	99	98	483	71.636	570
Ag004G0593700	AT5G22320.1	455	453	99	99	460	76.522	617
Ag004G0593800	AT5G22330.1	460	459	100	100	460	98.043	906
Ag004G0593900	AT5G22340.2	319	341	92	88	299	77.926	457
Ag004G0594000	AT5G22350.1	425	428	100	100	428	89.019	797
Ag004G0594100	AT5G22360.1	222	222	100	100	222	92.342	430
Ag004G0594300	AT5G22380.1	241	236	98	98	237	75.527	362
Ag004G0594700	AT5G22400.1	434	467	96	91	427	83.411	691
Ag004G0594800	AT5G22410.1	334	332	99	99	333	70.571	465
Ag004G0594900	AT5G22420.1	491	410	75	90	370	70.000	555
Ag004G0595100	AT5G22430.1	173	173	100	100	173	79.191	262
Ag004G0595600	AT5G22450.1	1154	1155	100	100	1157	86.171	1967
Ag004G0595800	AT5G22490.1	475	483	96	96	466	76.395	732
Ag004G0595900	AT5G22470.1	815	816	100	100	819	90.842	1535
Ag004G0596000	AT5G22460.1	340	341	100	100	341	76.540	566
Ag004G0596200	AT5G22500.1	495	492	100	100	495	88.687	912
Ag004G0596300	AT5G22510.1	618	618	100	100	623	90.209	1161
Ag004G0597000	AT5G22540.1	439	441	98	99	441	83.447	694
Ag004G0597200	AT5G22550.2	486	493	100	100	493	75.254	742
Ag004G0597900	AT5G22580.1	112	112	100	100	112	86.607	196
Ag004G0598400	AT5G22620.1	501	483	97	99	492	81.707	806
Ag004G0598600	AT5G22630.1	431	426	99	99	433	90.993	757
Ag004G0598700	AT5G22640.1	894	872	98	94	828	75.197	1182
Ag004G0600600	AT5G22740.1	535	535	100	100	535	95.514	1066
Ag004G0600700	AT5G22750.1	1034	1030	100	100	1038	88.825	1866
Ag004G0600800	AT5G22760.1	1575	1567	99	99	1607	76.540	2440
Ag004G0600900	AT5G22780.1	1019	1014	100	100	1019	92.051	1889
Ag004G0601100	AT5G22790.1	438	434	100	100	438	84.932	713
Ag004G0601300	AT5G54010.1	454	454	100	100	454	83.480	793
Ag004G0601700	AT5G22800.2	970	1004	98	95	957	89.446	1690
Ag004G0601800	AT5G22810.1	365	360	98	99	356	89.045	654
Ag004G0601900	AT5G22820.2	526	535	99	91	495	73.645	722
Ag004G0602300	AT5G22830.1	450	460	100	100	464	87.069	707
Ag004G0602500	AT5G22840.1	544	539	100	100	547	88.483	956
Ag004G0602600	AT5G22850.1	492	494	100	100	495	88.889	879
Ag004G0604700	AT5G22860.1	500	503	99	97	486	81.200	823
Ag004G0605200	AT5G22870.1	200	208	100	96	203	71.429	280
Ag004G0605300	AT5G22875.1	70	70	100	100	70	90.000	131
Ag004G0605600	AT5G22890.1	369	374	96	97	367	74.387	526
Ag004G0605900	AT5G22900.1	810	823	99	99	822	76.521	1313
Ag004G0606100	AT5G22920.1	293	292	100	100	293	93.857	572
Ag004G0606200	AT5G42146.1	138	138	100	100	138	78.986	174
Ag004G0606800	AT5G22930.1	229	239	100	100	239	82.845	367
Ag004G0607200	AT5G53580.1	358	366	100	100	366	89.071	672
Ag004G0608000	AT5G22940.2	462	499	99	99	503	72.962	691
Ag004G0608300	AT5G22950.1	230	230	100	100	230	95.652	407
Ag004G0608400	AT5G22980.1	501	506	99	99	503	80.318	834
Ag004G0610200	AT5G23000.1	338	330	100	100	342	80.117	450
Ag004G0610300	AT5G60800.2	285	303	91	92	264	75.758	274
Ag004G0610400	AT5G60790.1	596	596	94	100	560	93.393	1105
Ag004G0610500	AT5G60780.1	537	540	99	99	535	93.271	1001
Ag004G0610700	AT5G60770.1	525	528	99	99	523	95.411	1023
Ag004G0610800	AT5G60760.1	723	739	99	99	744	83.468	1190
Ag004G0611000	AT5G60750.1	348	348	100	100	349	92.837	607
Ag004G0612000	AT5G60740.1	1112	1110	100	100	1113	93.890	2097
Ag004G0612100	AT5G60730.1	386	392	100	100	393	89.822	665
Ag004G0612200	AT5G60720.1	688	692	100	98	690	82.194	1085
Ag004G0612300	AT5G60710.1	708	705	100	100	717	82.566	1144
Ag004G0612400	AT5G60700.2	938	933	100	100	938	94.776	1827
Ag004G0612500	AT5G60690.1	842	843	100	100	846	96.690	1692
Ag004G0612900	AT5G60680.1	164	164	100	100	168	72.024	177
Ag004G0613200	AT5G60660.1	286	292	99	97	283	91.519	531
Ag004G0613500	AT5G60640.1	589	598	100	100	599	84.641	947
Ag004G0613600	AT5G60620.1	376	377	100	100	377	93.369	735
Ag004G0614500	AT5G60600.1	742	742	100	100	742	96.900	1489
Ag004G0614600	AT5G60590.2	282	289	95	96	269	89.219	481
Ag004G0614700	AT5G60580.2	490	495	99	99	498	82.329	758
Ag004G0614900	AT5G60570.1	378	394	100	100	394	88.832	714
Ag004G0615100	AT5G60550.1	410	408	100	100	411	86.618	710
Ag004G0615200	AT5G60540.1	253	256	100	100	256	92.188	473
Ag004G0615300	AT5G60530.1	430	440	72	70	309	89.644	604
Ag004G0615500	AT5G60520.1	337	339	100	100	340	86.176	585
Ag004G0615600	AT5G60510.1	272	273	99	99	269	78.067	452
Ag004G0615800	AT5G60490.1	254	250	84	94	214	86.809	322
Ag004G0616200	AT5G60460.1	110	110	100	100	110	92.727	125
Ag004G0617300	AT5G60450.1	785	789	100	100	799	86.483	1330
Ag004G0619200	AT5G60410.2	876	886	99	99	876	89.384	1603
Ag004G0619400	AT1G07940.1;AT1G07930.1;AT1G07920.1;AT5G60390.1	450	450	100	100	450	99.778	923
Ag004G0619500	AT5G60370.1	411	414	95	85	353	80.457	583
Ag004G0619800	AT5G60360.3	359	362	97	96	347	89.625	635
Ag004G0620900	AT5G60340.1	194	179	90	98	175	78.857	299
Ag004G0621000	AT5G60335.1	167	167	99	100	167	80.838	276
Ag004G0621200	AT5G60320.1	630	676	99	94	634	79.968	1027
Ag004G0621400	AT5G60300.3	739	767	97	94	721	83.911	1177
Ag004G0621500	AT5G60280.1	659	658	100	100	661	79.728	1027
Ag004G0621600	AT5G60270.1	672	669	100	100	672	81.845	1085
Ag004G0622200	AT5G60230.2	266	256	95	99	254	85.433	456
Ag004G0622700	AT5G60210.3	562	589	99	95	561	85.740	926
Ag004G0622800	AT5G60200.1	258	258	100	100	266	80.827	395
Ag004G0623000	AT5G60190.1	227	227	100	100	227	82.819	393
Ag004G0624100	AT5G60170.2	990	988	100	100	1014	73.307	1417
Ag004G0624400	AT3G26660.1	116	122	100	100	123	81.301	201
Ag004G0624700	AT5G60120.2	465	508	100	100	514	72.374	676
Ag004G0625600	AT5G60100.2	502	523	98	99	528	73.485	702
Ag004G0626200	AT2G20060.1	295	301	88	92	276	79.348	452
Ag004G0628400	AT5G60070.1	546	549	100	100	549	86.157	949
Ag004G0628500	AT5G60060.1	373	375	99	98	374	75.733	520
Ag004G0628700	AT5G60050.1	494	500	99	99	499	88.778	890
Ag004G0628800	AT5G60040.2	1377	1392	100	100	1401	83.012	2363
Ag004G0629100	AT5G60020.1	578	578	100	100	578	93.426	1127
Ag004G0629200	AT5G60010.1	886	887	100	100	892	90.247	1674
Ag004G0629700	AT5G59990.1	246	242	100	100	246	84.553	325
Ag004G0630000	AT5G59960.1	357	360	100	100	360	95.278	697
Ag004G0630100	AT5G59950.5	248	246	100	100	252	80.159	337
Ag004G0630600	AT2G35050.1	1308	1258	100	100	1311	75.739	1929
Ag004G0631200	AT5G59900.1	902	908	99	99	902	80.155	1458
Ag004G0631300	AT3G46000.2	138	157	100	88	138	89.130	256
Ag004G0631800	AT3G46020.1	94	103	98	89	92	71.739	142
Ag004G0631900;Ag034G3746500	AT1G07770.1;AT5G59850.1	131	131	100	100	131	100.000	266
Ag004G0632000	AT5G59845.1	88	90	100	100	90	80.000	138
Ag004G0632300	AT5G59840.1	217	217	100	100	217	98.618	440
Ag004G0632400	AT5G59830.1	421	426	100	100	428	84.579	739
Ag004G0632500	AT5G59820.1	162	163	100	100	165	83.030	262
Ag004G0632600	AT5G59810.1	777	779	98	98	765	74.165	1176
Ag004G0632800	AT5G59790.1	430	424	97	99	429	84.382	661
Ag004G0633100	AT5G59870.1	149	151	98	99	149	88.591	250
Ag004G0633200	AT5G59865.1	116	114	100	100	116	73.276	150
Ag004G0633900	AT5G59780.3	246	236	94	97	232	89.224	410
Ag004G0634300	AT5G59770.1	219	222	100	100	222	81.532	350
Ag004G0634500	AT5G59750.2	496	544	100	99	543	80.663	874
Ag004G0634600	AT5G59740.1	351	345	98	99	346	93.353	653
Ag004G0634700	AT5G59730.1	620	635	97	94	598	77.371	951
Ag004G0635100	AT5G59720.1	161	162	99	98	161	92.547	276
Ag004G0636700	AT5G59710.1	616	615	99	99	614	91.857	1095
Ag004G0636800	AT5G59700.1	833	830	100	100	834	84.652	1412
Ag004G0637900	AT5G59680.1	888	888	100	100	889	76.828	1353
Ag004G0638500	AT5G59670.1	872	869	100	100	882	71.655	1213
Ag004G0639400	AT3G46430.1;AT5G59613.1	56	56	100	100	56	92.857	108
Ag004G0639700	AT5G59610.3	273	280	100	100	284	81.690	449
Ag004G0639800	AT5G59600.1	531	535	100	100	535	80.748	884
Ag004G0640100	AT5G59580.1	454	454	99	99	454	81.938	767
Ag004G0640500	AT5G59560.1	277	276	99	99	275	83.273	475
Ag004G0640800	AT5G59540.1	367	367	100	100	367	79.564	610
Ag004G0640900	AT5G59520.1	349	354	100	100	354	84.746	560
Ag004G0641000	AT5G59510.1	141	145	99	97	141	83.688	209
Ag004G0641400	AT5G59500.1	390	397	100	100	397	85.642	684
Ag004G0641500	AT5G59490.1	265	267	100	100	267	84.644	445
Ag004G0641900	AT5G59480.1	278	283	100	100	283	83.746	492
Ag004G0642000	AT5G59470.1	240	240	99	99	237	79.747	402
Ag004G0642200	AT5G59450.1	614	611	100	100	621	80.676	978
Ag004G0642300	AT5G59440.3	267	272	99	94	258	84.496	452
Ag004G0642400	AT5G59430.1	579	579	95	98	560	76.607	805
Ag004G0642500	AT5G38520.2	363	375	100	100	378	83.862	589
Ag004G0642600	AT5G59420.1	456	458	100	100	458	90.393	850
Ag004G0642700	AT5G59410.1	131	131	100	100	131	93.893	224
Ag004G0642800	AT5G59400.1	304	300	100	100	305	89.180	545
Ag004G0644400	AT5G59350.1	300	288	97	99	304	74.013	357
Ag004G0644700	AT5G59340.1	254	261	100	100	262	75.573	397
Ag004G0644900	AT5G59320.1	116	116	100	100	116	90.517	210
Ag004G0647200	AT5G59300.1	167	167	100	100	167	96.407	339
Ag004G0647300	AT5G59290.2	340	358	99	95	339	98.230	692
Ag004G0647600	AT5G59030.1	200	171	84	100	177	70.056	210
Ag004G0647700	AT5G59040.1	149	152	100	100	152	73.684	212
Ag004G0647800	AT5G59050.1	296	313	100	100	313	77.955	412
Ag004G0648000	AT5G59070.1	509	506	100	100	515	86.602	862
Ag004G0648100	AT5G59080.1	134	136	100	100	139	74.820	187
Ag004G0650600	AT5G59120.1	739	733	99	99	734	74.932	1116
Ag004G0650800	AT5G59140.1	97	97	100	100	97	98.969	197
Ag004G0651100	AT5G59150.1	218	218	100	100	218	95.413	432
Ag004G0651200	AT5G59160.1	313	313	100	100	313	98.083	637
Ag004G0651400	AT5G59180.1	177	177	100	100	177	96.610	352
Ag004G0651500	AT5G59190.1	730	694	95	99	695	77.122	1087
Ag004G0651600	AT5G59200.1	544	545	100	100	545	85.688	975
Ag004G0651700	AT5G59210.1	430	435	100	100	435	88.276	759
Ag004G0652700	AT5G59250.1	555	559	100	100	560	89.107	969
Ag004G0652800	AT5G59270.2	691	688	100	99	691	75.832	1029
Ag004G0652900	AT5G59260.1	697	675	100	100	699	76.748	1025
Ag004G0653500	AT5G59010.1	491	490	100	100	491	95.316	978
Ag004G0653600	AT5G59000.1	229	232	100	100	235	71.064	276
Ag004G0653700	AT5G52370.1	151	143	100	100	151	78.146	205
Ag004G0653800	AT1G60620.1	388	386	99	98	385	77.403	606
Ag004G0655200	AT5G58970.1	306	306	100	100	306	95.098	597
Ag004G0655300	AT5G58960.1	551	560	100	100	564	89.894	975
Ag004G0655700	AT5G58950.1	517	526	100	100	534	86.704	892
Ag004G0655800	AT5G58940.1	480	471	98	99	472	80.720	740
Ag004G0656000	AT5G58930.1	475	522	98	100	515	73.106	650
Ag004G0656300	AT5G58910.2	566	568	100	100	568	89.437	1054
Ag004G0656500	AT5G58900.1	285	289	100	100	290	85.862	499
Ag004G0657300	AT5G58870.1	805	807	100	100	815	88.344	1334
Ag004G0657400	AT5G58860.1	514	514	100	100	514	92.607	991
Ag004G0657500	AT5G58850.1	424	431	99	99	435	74.253	613
Ag004G0657700	AT5G58830.1	720	711	99	99	714	76.891	1104
Ag004G0658200	AT5G58800.1	205	208	99	98	204	92.647	398
Ag004G0659200	AT5G58784.1	302	303	96	100	291	83.162	502
Ag004G0659500	AT5G58780.1	307	303	93	95	289	84.192	501
Ag004G0659600	AT5G58770.1	311	311	100	100	312	85.897	536
Ag004G0659700	AT5G58760.1	565	558	98	98	555	85.405	889
Ag004G0659800	AT3G44380.1	186	187	97	96	180	90.556	317
Ag004G0660600	AT5G58750.1	383	387	99	99	387	86.305	682
Ag004G0661000	AT5G58740.1	159	159	100	100	159	97.484	330
Ag004G0661300	AT5G58730.1	339	354	99	93	330	85.387	579
Ag004G0661400	AT5G58720.1	524	520	97	96	508	81.569	799
Ag004G0661600	AT5G58700.1	595	598	100	99	596	83.725	1031
Ag004G0661700	AT5G58690.1	582	579	100	100	582	86.082	1057
Ag004G0662400	AT5G58670.1	562	562	100	100	562	84.698	1001
Ag004G0662500	AT5G58920.1	160	163	100	100	163	87.730	294
Ag004G0662700	AT5G58660.1	344	353	99	98	349	78.797	528
Ag004G0662900	AT5G58640.1	227	229	99	99	226	87.168	358
Ag004G0663100	AT5G58620.1	608	608	100	100	622	76.527	917
Ag004G0663500	AT5G58600.1	403	403	98	97	397	90.680	710
Ag004G0663900	AT5G58590.1	220	220	84	82	180	90.811	322
Ag004G0664200	AT5G58575.1	173	182	99	99	180	83.889	305
Ag004G0664300	AT5G58560.1	306	308	100	95	298	78.981	461
Ag004G0664600	AT5G58550.1	930	926	100	100	934	85.011	1615
Ag004G0664800	AT5G58530.1	255	274	98	99	277	70.397	362
Ag004G0665100	AT5G58520.1	602	605	100	100	606	88.449	1036
Ag004G0665200	AT5G58510.1	955	964	100	100	964	87.344	1683
Ag004G0665400	AT5G58500.1	191	183	100	85	155	82.723	291
Ag004G0665500	AT5G58490.1	328	325	98	99	321	90.966	608
Ag004G0665600	AT5G58480.1	478	477	97	95	455	84.835	796
Ag004G0665700	AT5G58470.1	436	423	80	79	350	75.143	368
Ag004G0665800	AT5G37060.1	858	860	99	99	861	77.120	1350
Ag004G0665900	AT5G37055.1	172	172	100	100	172	91.279	333
Ag004G0666000	AT5G58450.1	1003	1066	100	94	1004	88.347	1786
Ag004G0666100	AT5G58440.1	581	588	99	99	588	86.224	977
Ag004G0666200	AT5G58430.1	625	625	100	100	625	93.600	1185
Ag004G0666300	AT5G58420.1	263	263	100	100	263	95.817	523
Ag004G0666400	AT5G58410.1	1857	1874	100	100	1877	83.431	3107
Ag004G0666900	AT5G58400.1	322	326	98	96	314	72.930	467
Ag004G0667000	AT5G58380.1	463	480	96	95	457	89.497	848
Ag004G0667100	AT5G58375.1	87	86	100	100	87	78.161	135
Ag004G0667200	AT5G58370.2	588	466	75	94	446	76.682	650
Ag004G0667400	AT5G58350.1	570	572	100	100	574	84.146	932
Ag004G0667600	AT5G58330.1	444	444	99	99	443	92.551	825
Ag004G0667700	AT5G58320.2	554	559	99	99	560	78.929	817
Ag004G0667800	AT5G58310.1	264	264	100	100	264	80.682	436
Ag004G0668600	AT5G58300.1	654	655	99	99	654	86.544	1148
Ag004G0668700	AT5G58290.1	405	409	99	99	403	98.511	816
Ag004G0669400	AT5G58270.1	735	729	99	99	730	90.411	1321
